iter	Logloss
0	0.6679415335
1	0.6451805223
2	0.6304887884
3	0.6122843139
4	0.5986091473
5	0.5862777055
6	0.5772518029
7	0.5645609855
8	0.5549120133
9	0.5468294569
10	0.5368793108
11	0.5316679611
12	0.5267880882
13	0.5198092975
14	0.5145859186
15	0.5104953117
16	0.5059886983
17	0.4985227343
18	0.4946806171
19	0.4904049883
20	0.4817417454
21	0.4782727824
22	0.4755462691
23	0.4729166372
24	0.4699522872
25	0.462718613
26	0.4593159143
27	0.4563488649
28	0.4535723956
29	0.4487325527
30	0.446278292
31	0.4421630268
32	0.440100874
33	0.4368068093
34	0.4347511633
35	0.4313332317
36	0.4298491396
37	0.4262434893
38	0.4238336187
39	0.4219421629
40	0.4201467448
41	0.4153638464
42	0.4138642706
43	0.41242927
44	0.4110775709
45	0.4090821926
46	0.4078356123
47	0.4063783745
48	0.4045692066
49	0.4036245685
50	0.4027556876
51	0.4007246888
52	0.3985367211
53	0.3965439651
54	0.3954001238
55	0.3928410329
56	0.3914880375
57	0.3896955665
58	0.3888021784
59	0.3877212027
60	0.3869894649
61	0.38516668
62	0.3823488659
63	0.3803444689
64	0.3793490044
65	0.3783985185
66	0.3767522586
67	0.3750234607
68	0.3742601844
69	0.3733030388
70	0.3719414421
71	0.370788944
72	0.3693979726
73	0.3681993831
74	0.3667503779
75	0.3661234101
76	0.3654439228
77	0.3637123228
78	0.3625828288
79	0.3616124489
80	0.3608278593
81	0.3586505224
82	0.3579550087
83	0.357282811
84	0.3562706518
85	0.3553518937
86	0.3544411089
87	0.3528195494
88	0.3517033265
89	0.3512455062
90	0.350022588
91	0.3488515939
92	0.3481286855
93	0.3474744267
94	0.3466534423
95	0.3457905128
96	0.3450740634
97	0.3440568276
98	0.3431282609
99	0.3426162119
100	0.3421440502
101	0.3415112098
102	0.3406230318
103	0.3401406869
104	0.33915444
105	0.3383720924
106	0.3378294954
107	0.3366285292
108	0.3360681536
109	0.3354185361
110	0.3350780064
111	0.334529943
112	0.3338730283
113	0.3334126737
114	0.3326581809
115	0.3320795959
116	0.3316498019
117	0.3311481307
118	0.3307089839
119	0.330325894
120	0.329557236
121	0.3288813879
122	0.3282030982
123	0.3276611548
124	0.3271435014
125	0.3264857285
126	0.3261343881
127	0.3256757821
128	0.3249699232
129	0.3244289685
130	0.323954274
131	0.3235999335
132	0.3230128026
133	0.3224772387
134	0.3220641455
135	0.3217545539
136	0.3213390212
137	0.3210024775
138	0.3205540727
139	0.3202637421
140	0.31986306
141	0.3195157454
142	0.3193459598
143	0.3188974832
144	0.3184530772
145	0.3178830097
146	0.3173069364
147	0.3165883237
148	0.3161682718
149	0.3153667506
150	0.3147873312
151	0.3143239926
152	0.3137942542
153	0.3132959959
154	0.3129863919
155	0.3123811778
156	0.3119006146
157	0.311412523
158	0.3108873605
159	0.3102005965
160	0.3098553464
161	0.3095027118
162	0.3086782861
163	0.3082255649
164	0.3079906338
165	0.307586376
166	0.3072655931
167	0.3067742936
168	0.3063588633
169	0.3060568349
170	0.3056419356
171	0.30532618
172	0.3049837244
173	0.3047360671
174	0.3042862472
175	0.3039570752
176	0.3035031889
177	0.3031169733
178	0.3025124267
179	0.3022342558
180	0.3019879328
181	0.3016409816
182	0.3013657281
183	0.3010910397
184	0.3008304907
185	0.3004417024
186	0.3000493884
187	0.2997741521
188	0.2994204161
189	0.2990590994
190	0.298728358
191	0.2983798516
192	0.297938925
193	0.2975987317
194	0.2969871839
195	0.2965488975
196	0.2963140353
197	0.2958694344
198	0.2956658538
199	0.2952274795
200	0.2948011518
201	0.2947903677
202	0.2945275838
203	0.2940126833
204	0.2935984559
205	0.2932991103
206	0.2927916256
207	0.2925790423
208	0.2923588668
209	0.292007826
210	0.2918842561
211	0.2914841076
212	0.2912892854
213	0.2909661775
214	0.2906844635
215	0.2904258138
216	0.2901883472
217	0.289906397
218	0.2896195618
219	0.2893886223
220	0.2890598764
221	0.2888190354
222	0.2886097539
223	0.2883835576
224	0.2879363575
225	0.2874852774
226	0.2869552102
227	0.2867471535
228	0.2864490998
229	0.2861092473
230	0.2856916758
231	0.2853924899
232	0.2850235383
233	0.2846928732
234	0.2844039634
235	0.2840651316
236	0.2839325978
237	0.2836596582
238	0.2835176271
239	0.2831545414
240	0.2827978921
241	0.282605126
242	0.2823857434
243	0.2821899737
244	0.2819770786
245	0.2817951287
246	0.281446234
247	0.2811760231
